InvoiceNo;Order
Invoice1446;spaghetti,olive oil,cake,mushroom cream sauce
Invoice1447;french fries
Invoice1448;eggs,french fries,energy drink,light mayo,low fat yogurt
Invoice1449;eggs
Invoice1450;avocado,green grapes
Invoice1451;cookies
Invoice1452;chocolate,pancakes,rice,frozen smoothie,low fat yogurt
Invoice1453;mineral water,chocolate,milk,salmon,pancakes,chicken
Invoice1454;cookies
Invoice1455;green tea
Invoice1456;french fries,cottage cheese
Invoice1457;herb & pepper,spaghetti,pancakes,cake
Invoice1458;cider,cake
Invoice1459;shrimp,frozen vegetables,spaghetti,mint
Invoice1460;cookies
Invoice1461;eggs,french fries
Invoice1462;tomatoes,blueberries,mint
Invoice1463;tomatoes
Invoice1464;pancakes
Invoice1465;burgers,mineral water,eggs,cookies
Invoice1466;tomatoes,mineral water
Invoice1467;spaghetti,eggs
Invoice1468;avocado,almonds,french wine,honey,whole wheat rice
Invoice1469;turkey
Invoice1470;shrimp,spaghetti,chocolate,light mayo
Invoice1471;shrimp,butter,fresh bread
Invoice1472;tomatoes,soup,french fries,escalope,hand protein bar,tomato juice
Invoice1473;frozen vegetables,ground beef,mineral water,soup,milk,salmon,pancakes
Invoice1474;turkey,spaghetti,mineral water,milk,flax seed,chicken,eggs,cake
Invoice1475;cookies
Invoice1476;grated cheese,shrimp,french fries,cookies,pancakes,tomato juice
Invoice1477;eggs,low fat yogurt
Invoice1478;cookies
Invoice1479;shrimp,frozen vegetables,tomatoes,spaghetti
Invoice1480;parmesan cheese,mineral water,champagne,white wine,low fat yogurt
Invoice1481;frozen vegetables
Invoice1482;nonfat milk,tomato juice,green tea
Invoice1483;frozen vegetables,cake,french fries
Invoice1484;energy bar,cake
Invoice1485;burgers,tomatoes,mineral water,bramble
Invoice1486;mineral water
Invoice1487;burgers,strong cheese,champagne,escalope
Invoice1488;grated cheese,honey,cake,green tea
Invoice1489;mineral water,eggs,low fat yogurt
Invoice1490;burgers,mineral water,avocado,corn,escalope
Invoice1491;cake,french fries
Invoice1492;french fries
Invoice1493;frozen vegetables,parmesan cheese,mineral water,eggplant,chocolate,frozen smoothie
Invoice1494;mineral water,chocolate,fresh bread
Invoice1495;cookies
Invoice1496;tomatoes,mineral water
Invoice1497;milk,yogurt cake,melons
Invoice1498;olive oil,extra dark chocolate
Invoice1499;pickles,frozen vegetables,chocolate,sparkling water,green tea
Invoice1500;burgers,bacon,champagne,light mayo
Invoice1501;spaghetti,chicken,eggs
Invoice1502;low fat yogurt
Invoice1503;champagne
Invoice1504;burgers,ham,tomatoes,spaghetti,milk,eggs,whole wheat rice,chocolate,french fries,frozen smoothie,low fat yogurt
Invoice1505;champagne
Invoice1506;milk,butter,french fries,mushroom cream sauce,brownies
Invoice1507;herb & pepper,nonfat milk,eggs,cooking oil
Invoice1508;spaghetti
Invoice1509;candy bars
Invoice1510;frozen vegetables
Invoice1511;burgers,ham,frozen vegetables,french fries,tomato juice
Invoice1512;turkey,shrimp,eggs,light cream,cottage cheese
Invoice1513;frozen vegetables,tomatoes,ground beef,mineral water,milk,eggs,whole weat flour,cereals,antioxydant juice,tomato juice,green tea
Invoice1514;shrimp,butter,soda,chocolate,tomato juice
Invoice1515;grated cheese,chocolate,escalope
Invoice1516;french fries,mayonnaise
Invoice1517;mineral water
Invoice1518;chocolate,eggs,low fat yogurt
Invoice1519;salmon,chicken,green tea
Invoice1520;frozen vegetables,milk,fromage blanc,eggs,chocolate,french fries,champagne,salad
Invoice1521;ground beef,mineral water,pancakes
Invoice1522;red wine
Invoice1523;frozen vegetables,fresh bread
Invoice1524;mineral water
Invoice1525;mineral water,avocado,eggs,cake,low fat yogurt
Invoice1526;red wine,shrimp,chocolate,salmon,rice,whole weat flour,green tea
Invoice1527;turkey,burgers,soup,olive oil,salmon,oatmeal,cottage cheese,light mayo
Invoice1528;french fries,cookies
Invoice1529;olive oil,rice,sparkling water
Invoice1530;shrimp,ground beef,spaghetti,bug spray,chocolate,strawberries
Invoice1531;tomatoes,green tea
Invoice1532;ground beef,meatballs,salmon,cake,salt,tomato juice,fresh bread
Invoice1533;tomatoes,ground beef,soda,frozen smoothie,mint
Invoice1534;pepper,spaghetti,mineral water,chili,escalope,mint
Invoice1535;frozen vegetables,parmesan cheese,oil,green beans,tea,frozen smoothie
Invoice1536;spaghetti,whole wheat rice,french fries,cookies,green tea
Invoice1537;shrimp,eggs,chocolate,mushroom cream sauce,low fat yogurt
Invoice1538;cookies,green tea
Invoice1539;ground beef,spaghetti,mineral water,soup,chicken,pancakes,champagne,fresh bread
Invoice1540;frozen vegetables,tomatoes,mineral water,soup,milk,vegetables mix
Invoice1541;meatballs
Invoice1542;ground beef
Invoice1543;grated cheese,mineral water,cooking oil
Invoice1544;tomatoes,milk,muffins,french fries
Invoice1545;cookies,low fat yogurt
Invoice1546;frozen vegetables,mineral water,chocolate,whole wheat rice
Invoice1547;grated cheese,tomatoes,spaghetti,mineral water,milk,nonfat milk,light cream,chicken,extra dark chocolate,cottage cheese,strawberries
Invoice1548;tomatoes,fresh bread
Invoice1549;eggs
Invoice1550;ham,burgers,mineral water,chocolate,butter,salmon,carrots,cereals,salad
Invoice1551;french fries
Invoice1552;ground beef
Invoice1553;ground beef,mushroom cream sauce
Invoice1554;burgers,chocolate,cake,cookies,green tea
Invoice1555;chocolate,champagne
Invoice1556;chocolate bread,mushroom cream sauce,salt
Invoice1557;herb & pepper,shrimp,tomatoes,ground beef,spaghetti,olive oil,cooking oil,green beans,cereals,green tea
Invoice1558;fresh tuna,grated cheese,meatballs,whole weat flour,green tea
Invoice1559;eggs,frozen smoothie
Invoice1560;frozen vegetables,eggs
Invoice1561;burgers,frozen vegetables,mineral water,soup,meatballs,olive oil,eggs,hand protein bar,mayonnaise
Invoice1562;frozen vegetables,mineral water,chicken,salmon,eggs,pancakes,light mayo,mint
Invoice1563;french fries
Invoice1564;mineral water,cake,honey
Invoice1565;tomatoes
Invoice1566;mineral water
Invoice1567;ground beef,spaghetti,olive oil,cookies,pasta,green tea
Invoice1568;eggs,ham
Invoice1569;chocolate,olive oil,pancakes,eggs
Invoice1570;frozen vegetables,almonds,eggs,fresh bread,mint
Invoice1571;burgers,chocolate,herb & pepper,ground beef,spaghetti,soup,milk,chicken,muffins,low fat yogurt
Invoice1572;french fries
Invoice1573;eggs,chocolate,french fries
Invoice1574;frozen vegetables,tomatoes,ground beef,spaghetti,avocado,olive oil,almonds,cake,green tea
Invoice1575;frozen vegetables,ground beef,spaghetti,yams,zucchini
Invoice1576;butter,cake,green tea,mushroom cream sauce,mint
Invoice1577;ground beef,spaghetti,pancakes,chicken,mint green tea,chocolate,french fries,escalope,mushroom cream sauce,brownies,yogurt cake
Invoice1578;tomatoes,avocado,eggs,cake,energy drink
Invoice1579;mineral water,whole wheat rice,low fat yogurt
Invoice1580;avocado,soda
Invoice1581;spaghetti,vegetables mix,rice,eggplant,green tea
Invoice1582;grated cheese,red wine,milk,chicken,cider,salmon,rice,mint green tea,french fries,brownies,energy drink,melons
Invoice1583;turkey,pancakes
Invoice1584;mineral water,milk,almonds,bacon,eggs,rice,yogurt cake
Invoice1585;turkey,grated cheese,shrimp,tomatoes,spaghetti,olive oil,butter,spinach,hot dogs,low fat yogurt
Invoice1586;olive oil,french fries
Invoice1587;soup
Invoice1588;spaghetti,mineral water,spinach,eggs,rice,mint green tea,french fries,frozen smoothie,escalope,body spray,melons
Invoice1589;fresh tuna,chocolate,french fries
Invoice1590;mineral water,soup,eggs,cake,rice,cooking oil
Invoice1591;mineral water,chocolate,olive oil,flax seed,black tea,french wine,fromage blanc,salmon,protein bar
Invoice1592;french fries
Invoice1593;cooking oil
Invoice1594;tomatoes
Invoice1595;spaghetti,yams,green grapes,eggs,french fries
Invoice1596;mineral water,cooking oil,mint
Invoice1597;grated cheese,frozen vegetables,mineral water,eggs,cooking oil
Invoice1598;soup,milk,salmon
Invoice1599;cookies
Invoice1600;fresh bread
Invoice1601;strawberries
Invoice1602;muffins
Invoice1603;chocolate
Invoice1604;dessert wine,grated cheese,shrimp,frozen vegetables,ground beef,spaghetti,mineral water,soup,avocado,milk,salmon,whole wheat rice,gums,oil,clothes accessories,frozen smoothie
Invoice1605;shrimp,frozen vegetables,ground beef,tomato sauce,spaghetti,mineral water,milk,chocolate,escalope
Invoice1606;chocolate,shrimp,milk,olive oil,cider,cooking oil,hand protein bar
Invoice1607;shrimp,mineral water,almonds,eggs,cake,blueberries,green tea,chocolate,french fries,escalope,cookies,mashed potato,brownies,pancakes
Invoice1608;chocolate,shallot,energy drink
Invoice1609;tomatoes,whole wheat pasta,ground beef,spaghetti,mineral water,olive oil
Invoice1610;mineral water,soup,milk,salmon,cooking oil,ketchup,cereals,eggplant,french fries,magazines
Invoice1611;red wine,mineral water,soup,avocado
Invoice1612;turkey,red wine,ground beef,spaghetti,mineral water,milk,french wine,cereals,cottage cheese,yogurt cake,light mayo,tomato juice
Invoice1613;fresh tuna,herb & pepper,frozen vegetables,tomatoes,spaghetti,mineral water,avocado,milk,olive oil,black tea,spinach,eggs,french fries,cottage cheese,pancakes
Invoice1614;shrimp,tomatoes,spaghetti,green beans
Invoice1615;burgers,spaghetti,avocado,pancakes,cake,fresh bread
Invoice1616;milk
Invoice1617;chocolate
Invoice1618;energy bar,eggs,cottage cheese,green tea
Invoice1619;pepper,chocolate,french fries,cookies,strawberries,babies food,fresh bread,magazines
Invoice1620;escalope
Invoice1621;chocolate,cake,gums,champagne,protein bar
Invoice1622;ground beef,chocolate,mint
Invoice1623;burgers,fresh tuna,ham,grated cheese,frozen vegetables,tomatoes,parmesan cheese,spaghetti,mineral water,chocolate,olive oil,vegetables mix,nonfat milk,muffins,pancakes,cake,french fries,protein bar
Invoice1624;fresh tuna,mineral water,cider,eggs,brownies,low fat yogurt
Invoice1625;french fries,cookies
Invoice1626;chocolate,frozen vegetables,mineral water,cake,french fries,cottage cheese,brownies,pancakes
Invoice1627;burgers,tomatoes,mineral water,eggs,light cream,oil,french fries
Invoice1628;spaghetti,french fries
Invoice1629;mineral water,escalope
Invoice1630;ground beef
Invoice1631;chocolate,spaghetti,mineral water
Invoice1632;frozen vegetables,tomatoes,mineral water,soup,milk,salmon,vegetables mix,honey,mint green tea,champagne,escalope,tomato juice
Invoice1633;grated cheese,ground beef,whole wheat rice,french fries,escalope
Invoice1634;frozen vegetables,tomatoes,ground beef,mineral water,milk,energy bar,pancakes,honey,whole weat flour,french fries
Invoice1635;chocolate,fresh bread
Invoice1636;spaghetti,soup,cake,pet food,hot dogs,body spray,strawberries,fresh bread
Invoice1637;olive oil,salad
Invoice1638;mineral water,olive oil
Invoice1639;ground beef,spaghetti,mineral water,chocolate,escalope
Invoice1640;burgers,whole wheat pasta,mineral water,milk,pancakes
Invoice1641;salmon
Invoice1642;herb & pepper,mineral water,chocolate,eggs,cereals,escalope
Invoice1643;ground beef,mineral water,milk
Invoice1644;eggs,whole wheat rice,chocolate
Invoice1645;cookies,yogurt cake
Invoice1646;whole weat flour,green tea,pancakes,melons
Invoice1647;herb & pepper,mint
Invoice1648;salmon,vegetables mix
Invoice1649;chocolate,yogurt cake
Invoice1650;pancakes
Invoice1651;muffins,chicken,fresh bread,white wine
Invoice1652;muffins,blueberries,pet food,green tea,toothpaste
Invoice1653;chocolate,olive oil,whole wheat rice,cake,green beans,frozen smoothie,cottage cheese
Invoice1654;burgers
Invoice1655;fresh tuna,frozen vegetables,strong cheese,cottage cheese,tomato juice,low fat yogurt
Invoice1656;shrimp,tomatoes,spaghetti,mineral water,chocolate,chicken,pancakes,burger sauce,frozen smoothie,hand protein bar,fresh bread
Invoice1657;mushroom cream sauce
Invoice1658;chocolate,cooking oil
Invoice1659;mineral water,chocolate,frozen smoothie
Invoice1660;french wine,low fat yogurt
Invoice1661;tomato juice
Invoice1662;chili,french fries,green tea
Invoice1663;cake,french fries
Invoice1664;pepper,eggs
Invoice1665;muffins,french fries,frozen smoothie
Invoice1666;tomato sauce
Invoice1667;shrimp,tomatoes,soup,clothes accessories,green tea
Invoice1668;honey,french fries,escalope
Invoice1669;tomatoes,ground beef,chicken,green tea,escalope
Invoice1670;champagne,body spray
Invoice1671;muffins,french fries,escalope,hot dogs
Invoice1672;mint
Invoice1673;herb & pepper,frozen vegetables,salmon,carrots,chocolate,french fries
Invoice1674;cookies
Invoice1675;cereals,pancakes,yogurt cake
Invoice1676;olive oil
Invoice1677;green tea
Invoice1678;whole wheat pasta,spaghetti,milk
Invoice1679;mineral water,mint
Invoice1680;ground beef,pancakes
Invoice1681;grated cheese,tomatoes,spaghetti,mineral water,milk,ketchup,carrots,french fries,protein bar
Invoice1682;burgers,grated cheese,shrimp,whole wheat pasta,olive oil,french fries,frozen smoothie,protein bar
Invoice1683;chocolate,honey
Invoice1684;muffins,chocolate
Invoice1685;whole wheat pasta,ground beef,mineral water,avocado,milk,olive oil,chicken,gums,frozen smoothie
Invoice1686;escalope,green tea
Invoice1687;grated cheese,whole wheat pasta,mineral water,avocado,olive oil,frozen smoothie,light mayo
Invoice1688;muffins,french fries,yogurt cake
Invoice1689;soup,milk,brownies
Invoice1690;burgers,avocado,french fries
Invoice1691;eggs,burger sauce,escalope
Invoice1692;spaghetti,pancakes,french fries
Invoice1693;spaghetti,cake
Invoice1694;ground beef,green beans,french fries,green tea
Invoice1695;spaghetti,mineral water,chocolate,milk,chicken,burger sauce,antioxydant juice,frozen smoothie,magazines
Invoice1696;cake,hot dogs
Invoice1697;spaghetti,whole wheat rice,french fries
Invoice1698;spaghetti,salmon,cake,energy drink
Invoice1699;shrimp,frozen vegetables,mineral water,pancakes,cake,chocolate,hot dogs
Invoice1700;honey
Invoice1701;shrimp,whole wheat pasta,pepper,spaghetti,flax seed,black tea,oil,carrots,green tea,chocolate,french fries,escalope,salt,babies food,magazines
Invoice1702;mineral water
Invoice1703;pancakes,mint
Invoice1704;shrimp,spaghetti,vegetables mix,rice,cookies,hot dogs
Invoice1705;spaghetti,milk,frozen smoothie,green tea
Invoice1706;ground beef,vegetables mix,honey,tomato juice
Invoice1707;burgers,chocolate,tomatoes,whole wheat pasta,spaghetti,avocado,milk,salmon,vegetables mix,whole wheat rice,gums,ketchup,corn,french fries,cookies,sparkling water
Invoice1708;tomatoes,burger sauce,chocolate,green tea
Invoice1709;frozen vegetables,whole wheat pasta,milk,pancakes,whole wheat rice,french fries,light mayo
Invoice1710;grated cheese,spaghetti,olive oil
Invoice1711;mineral water,milk,chicken,oil,carrots,cereals,champagne,cottage cheese,pancakes,energy drink,white wine
Invoice1712;barbecue sauce,french fries,frozen smoothie
Invoice1713;shrimp,honey,ketchup,frozen smoothie,escalope,hot dogs,sparkling water,green tea
Invoice1714;mineral water,cooking oil,chocolate
Invoice1715;ground beef,soup,avocado,olive oil,cake,chocolate bread,green tea,french fries,frozen smoothie,low fat yogurt
Invoice1716;shrimp,frozen vegetables,spaghetti
Invoice1717;butter
Invoice1718;french fries
Invoice1719;frozen vegetables,escalope
Invoice1720;green tea
Invoice1721;escalope
Invoice1722;herb & pepper,parmesan cheese,frozen smoothie
Invoice1723;tomatoes,chicken
Invoice1724;ground beef,pepper,spaghetti,milk,vegetables mix,burger sauce,green beans,french fries,hot dogs,fresh bread
Invoice1725;chocolate,herb & pepper,shrimp,mineral water,chicken,pancakes,eggs,cookies,fresh bread,green tea
Invoice1726;chocolate
Invoice1727;light cream
Invoice1728;tomatoes,pancakes
Invoice1729;mineral water,cake,frozen smoothie,cookies,yogurt cake
Invoice1730;turkey,mineral water,chocolate,yogurt cake,light mayo
Invoice1731;cookies
Invoice1732;mineral water,chicken,oil,chocolate,frozen smoothie,mint
Invoice1733;cookies
Invoice1734;meatballs,yogurt cake
Invoice1735;cooking oil
Invoice1736;mineral water
Invoice1737;cookies,pasta
Invoice1738;hot dogs
Invoice1739;ground beef,pepper,olive oil,butter,green grapes,cooking oil
Invoice1740;burgers,shrimp,spaghetti,avocado,milk,olive oil,french wine,chutney,honey,gums,cereals,chocolate,melons,hand protein bar,zucchini
Invoice1741;whole wheat rice
Invoice1742;spaghetti,avocado,brownies
Invoice1743;fresh tuna,spaghetti,mineral water,salmon
Invoice1744;pancakes,cereals,chocolate
Invoice1745;burgers,tomatoes,pepper,corn,cereals,escalope,low fat yogurt
Invoice1746;ground beef,milk,frozen smoothie
Invoice1747;spaghetti,milk
Invoice1748;shrimp,mineral water,energy drink,salt,magazines
Invoice1749;grated cheese,spinach,french fries
Invoice1750;spaghetti,mineral water,milk,corn
Invoice1751;chocolate,grated cheese,herb & pepper,whole wheat pasta,almonds,oatmeal,green tea
Invoice1752;tomatoes,cooking oil
Invoice1753;whole wheat pasta,strawberries,melons,low fat yogurt
Invoice1754;mineral water,energy drink
Invoice1755;chocolate,cookies,green tea
Invoice1756;grated cheese,pepper,cake,bramble,chocolate
Invoice1757;mineral water,french fries
Invoice1758;grated cheese,frozen vegetables,whole wheat pasta,mineral water,milk,honey,oil
Invoice1759;cereals,pancakes
Invoice1760;pickles,shrimp,milk,cake,french fries,brownies,green tea
Invoice1761;whole wheat rice,cooking oil,cottage cheese,zucchini
Invoice1762;whole wheat pasta,avocado,olive oil,chocolate,french fries,frozen smoothie,champagne
Invoice1763;fresh tuna,mineral water,pancakes,cake,oil,extra dark chocolate,strawberries,gluten free bar
Invoice1764;cake,cookies,green tea
Invoice1765;burgers,cake
Invoice1766;mineral water,milk,cider,gums,extra dark chocolate,french fries,body spray,pancakes,energy drink
Invoice1767;escalope
Invoice1768;mineral water,whole wheat rice
Invoice1769;burgers,ground beef,honey,blueberries,gums,french fries,fresh bread
Invoice1770;french fries,pancakes,gluten free bar
Invoice1771;fresh tuna,mineral water,avocado,fromage blanc,chocolate,french fries,frozen smoothie,pancakes
Invoice1772;escalope,cookies
Invoice1773;burgers,chocolate,spaghetti,mineral water,milk,chicken,whole wheat rice,french fries
Invoice1774;burgers,ground beef,spaghetti,avocado,milk,olive oil,almonds,pancakes,honey,cake,chocolate,frozen smoothie,sparkling water
Invoice1775;burgers,eggs,champagne
Invoice1776;grated cheese
Invoice1777;ground beef,milk,energy bar,pancakes,honey,cereals
Invoice1778;shrimp,mineral water,extra dark chocolate,green tea
Invoice1779;spaghetti
Invoice1780;mineral water,french fries
Invoice1781;milk,muffins,honey,whole weat flour,green tea
Invoice1782;butter,bacon,eggs,carrots,french fries,tomato juice,green tea
Invoice1783;shrimp,frozen vegetables,tomatoes,spaghetti,eggs,champagne,frozen smoothie
Invoice1784;shrimp,tomatoes,mineral water,chocolate
Invoice1785;mineral water,meatballs,olive oil,muffins,whole wheat rice,yogurt cake,light mayo,salt
Invoice1786;cookies
Invoice1787;eggs,chicken,whole weat flour,strawberries,low fat yogurt
Invoice1788;burgers,eggs,french fries
Invoice1789;nonfat milk,escalope
Invoice1790;spaghetti,mineral water,extra dark chocolate,green tea,zucchini
Invoice1791;eggs,french fries
Invoice1792;frozen vegetables,spaghetti,mineral water,salmon,cake,body spray
Invoice1793;meatballs,french wine
Invoice1794;cake,french fries
Invoice1795;cider,frozen smoothie
Invoice1796;eggs,whole weat flour,eggplant,strawberries,low fat yogurt
Invoice1797;turkey,pepper,light mayo,protein bar
Invoice1798;turkey,tomatoes,low fat yogurt
Invoice1799;flax seed,cake,green tea,french fries,mushroom cream sauce,hot dogs,cottage cheese,brownies
Invoice1800;eggs,cookies
Invoice1801;turkey,mineral water,whole wheat rice,body spray,energy drink,green tea
Invoice1802;eggs,escalope
Invoice1803;eggs,honey,salt,green tea
Invoice1804;spaghetti,mineral water,french fries,pancakes
Invoice1805;green tea
Invoice1806;tomatoes,spaghetti,mineral water,milk,energy bar,spinach,eggs,frozen smoothie
Invoice1807;shrimp,tomatoes
Invoice1808;light cream,chocolate,pancakes,yogurt cake
Invoice1809;turkey,eggs
Invoice1810;french fries
Invoice1811;french fries
Invoice1812;ground beef
Invoice1813;grated cheese,mineral water,eggs,extra dark chocolate,yogurt cake,mayonnaise,low fat yogurt
Invoice1814;salmon,eggs,cake
Invoice1815;frozen vegetables,spaghetti,mineral water,vegetables mix
Invoice1816;shrimp,mineral water,olive oil,eggs,cake
Invoice1817;turkey,herb & pepper,spaghetti,eggs
Invoice1818;spaghetti,mineral water,eggs,burger sauce,cooking oil,french fries,brownies
Invoice1819;whole weat flour,cereals,honey
Invoice1820;turkey,burgers,spaghetti,pancakes,ketchup,eggplant,french fries,cottage cheese,green tea
Invoice1821;grated cheese,herb & pepper,spaghetti,french wine,chicken,eggs,whole wheat rice,fresh bread
Invoice1822;burgers,fresh tuna,pickles,vegetables mix,hot dogs,cottage cheese,brownies,green tea
Invoice1823;tomatoes,french fries
Invoice1824;escalope,cookies
Invoice1825;energy bar
Invoice1826;dessert wine,mineral water,milk
Invoice1827;turkey,pepper,black tea,honey,cake,bug spray,pancakes,low fat yogurt,green tea
Invoice1828;whole wheat pasta,pepper,olive oil,whole wheat rice,rice,pasta,white wine
Invoice1829;soup,french fries
Invoice1830;burgers,mineral water,escalope
Invoice1831;pepper,mineral water,soup,milk,french wine,pancakes,chocolate,asparagus
Invoice1832;french fries
Invoice1833;french fries,escalope
Invoice1834;chocolate,shrimp,milk,butter,black tea,eggs,cooking oil,barbecue sauce,green tea,cauliflower,toothpaste
Invoice1835;chicken
Invoice1836;chocolate,frozen smoothie
Invoice1837;pancakes
Invoice1838;chicken,honey,whole weat flour,cereals,green tea,energy drink
Invoice1839;mineral water,french fries,cookies,shallot,low fat yogurt
Invoice1840;mineral water,pancakes,eggs,whole wheat rice,yogurt cake,green tea
Invoice1841;frozen smoothie
Invoice1842;pepper,cider
Invoice1843;frozen vegetables,spaghetti,milk,bacon,barbecue sauce,low fat yogurt
Invoice1844;frozen vegetables,parmesan cheese,spaghetti,escalope,sparkling water
Invoice1845;cake
Invoice1846;red wine,gums,pet food
Invoice1847;turkey
Invoice1848;frozen vegetables,spaghetti,mineral water,soup,green grapes,eggs,cooking oil,oatmeal
Invoice1849;chocolate
Invoice1850;eggs,champagne
Invoice1851;frozen vegetables,spaghetti
Invoice1852;grated cheese,herb & pepper,ground beef,mineral water,rice,cooking oil,oatmeal,chocolate
Invoice1853;mineral water
Invoice1854;red wine,eggs
Invoice1855;turkey,spinach
Invoice1856;burgers,herb & pepper,shrimp,whole weat flour,green tea
Invoice1857;spaghetti,escalope
Invoice1858;fresh tuna,pepper,spaghetti,whole wheat rice,cooking oil
Invoice1859;escalope
Invoice1860;tomatoes,french fries,body spray,yogurt cake
Invoice1861;rice,burger sauce,french fries,frozen smoothie,sandwich,fresh bread
Invoice1862;tomatoes,soup,green grapes,whole weat flour
Invoice1863;grated cheese,avocado,french fries,green tea
Invoice1864;turkey,burgers,spaghetti,french wine,eggs
Invoice1865;eggs,mashed potato
Invoice1866;burgers,ham,spaghetti,soup,almonds,pancakes,eggs,cake,cereals,chocolate,french fries,low fat yogurt,green tea
Invoice1867;frozen vegetables,chicken,pancakes
Invoice1868;chocolate,red wine,spaghetti
Invoice1869;mineral water,milk
Invoice1870;fresh tuna
Invoice1871;french fries
Invoice1872;chocolate,red wine,spaghetti
Invoice1873;cookies
Invoice1874;tomatoes,cake
Invoice1875;frozen vegetables,tomatoes,mineral water,chicken,green grapes,eggs,chocolate,brownies,fresh bread,white wine
Invoice1876;pancakes,eggs
Invoice1877;ham,grated cheese,frozen vegetables,mineral water,soup,eggs,cereals,chocolate,french fries
Invoice1878;shrimp,babies food
Invoice1879;burgers,shrimp,tomatoes,ground beef,tomato sauce,spaghetti,soup,milk,black tea,cereals,green tea
Invoice1880;eggs,tea
Invoice1881;eggs,low fat yogurt
Invoice1882;ham,frozen vegetables,energy bar,whole weat flour,green tea
Invoice1883;ground beef,tomato sauce,salmon,chocolate,green tea
Invoice1884;frozen vegetables,soda,chocolate
Invoice1885;shrimp,frozen vegetables,tomatoes,whole wheat pasta,chocolate,french fries,mushroom cream sauce
Invoice1886;mineral water,energy bar,vegetables mix,green grapes
Invoice1887;cooking oil,fresh bread
Invoice1888;red wine,mineral water,muffins,pancakes,honey,cake,cooking oil,whole weat flour,french fries,frozen smoothie,mushroom cream sauce,hot dogs,sparkling water,green tea
Invoice1889;avocado,eggs,chocolate,energy drink
Invoice1890;herb & pepper,olive oil,fresh bread
Invoice1891;spaghetti,energy bar,pancakes,whole wheat rice,cake,french fries,low fat yogurt
Invoice1892;frozen vegetables,spaghetti,mineral water,barbecue sauce,chocolate
Invoice1893;chocolate,herb & pepper,shrimp,frozen vegetables,tomatoes,ground beef,spaghetti,mineral water,eggs
Invoice1894;whole wheat rice,frozen smoothie,low fat yogurt,green tea
Invoice1895;burgers,red wine,mineral water,cake,green tea
Invoice1896;red wine,mineral water,soup,eggs,pet food,tomato juice,fresh bread
Invoice1897;grated cheese,ground beef,pepper,spaghetti,milk,pancakes
Invoice1898;burgers,shrimp,frozen vegetables,tomatoes,light cream,extra dark chocolate
Invoice1899;french fries
Invoice1900;whole weat flour,french fries,brownies
Invoice1901;cake,mint green tea
Invoice1902;spaghetti,mineral water,cake,light cream,cooking oil,eggplant,cottage cheese,pancakes
Invoice1903;ground beef,mineral water,milk,oatmeal,chocolate,french fries,escalope,yogurt cake,tomato juice
Invoice1904;olive oil,cake,eggplant,french fries,brownies,salt,fresh bread
Invoice1905;mineral water,french wine,green tea
Invoice1906;mineral water,olive oil,strong cheese,pancakes,clothes accessories,french fries,strawberries
Invoice1907;spaghetti,olive oil
Invoice1908;grated cheese,ground beef,almonds,salmon,spinach,barbecue sauce,chocolate,frozen smoothie,fresh bread,green tea
Invoice1909;tomatoes,pepper,mineral water
Invoice1910;escalope
Invoice1911;spaghetti
Invoice1912;mineral water,soup,milk,olive oil,green beans,french fries,green tea
Invoice1913;cake,french fries
Invoice1914;burgers,whole wheat rice,ham,eggplant
Invoice1915;burgers,dessert wine,strong cheese,french fries
Invoice1916;hot dogs
Invoice1917;avocado
Invoice1918;grated cheese,red wine,tomato sauce,milk,french wine,whole wheat rice,whole weat flour,french fries
Invoice1919;turkey,burgers,frozen vegetables,mineral water,nonfat milk,champagne,strawberries,low fat yogurt
Invoice1920;chocolate
Invoice1921;spaghetti,honey,cooking oil,cookies,mashed potato
Invoice1922;dessert wine,eggs,french fries
Invoice1923;turkey,burgers,french wine,french fries,green tea
Invoice1924;mineral water,soup,meatballs,energy bar,cottage cheese,brownies,shampoo
Invoice1925;turkey,chocolate,whole wheat rice,oil
Invoice1926;ground beef,chocolate,escalope
Invoice1927;french fries
Invoice1928;chocolate,milk,olive oil
Invoice1929;cereals,chocolate,champagne,green tea
Invoice1930;strawberries
Invoice1931;whole wheat pasta,ground beef,mineral water,olive oil,green tea
Invoice1932;spaghetti
Invoice1933;milk,eggs
Invoice1934;frozen vegetables,spaghetti,mineral water,frozen smoothie,cottage cheese,green tea
Invoice1935;mineral water
Invoice1936;soup,cookies,brownies,light mayo
Invoice1937;mineral water,chocolate,french wine,champagne
Invoice1938;chocolate
Invoice1939;french fries,pancakes,yogurt cake
Invoice1940;burgers,fresh tuna,shrimp,spaghetti,chocolate,french wine,chutney,pancakes,eggs,whole wheat rice,cooking oil,french fries,light mayo
Invoice1941;oil,frozen smoothie
Invoice1942;red wine,mineral water,olive oil
Invoice1943;pepper,milk,salmon
Invoice1944;grated cheese,cereals
Invoice1945;tomatoes,milk,almonds,salmon,pancakes,carrots,salad,fresh bread
Invoice1946;grated cheese,herb & pepper,ground beef,soup,almonds,french fries,cookies
Invoice1947;shrimp,tomatoes
Invoice1948;milk,cake
Invoice1949;turkey,spaghetti,milk,energy bar,french wine,eggs,eggplant,french fries,cookies,green tea
Invoice1950;turkey,fresh tuna,tomatoes,pancakes
Invoice1951;whole wheat rice
Invoice1952;ground beef,tomato sauce,spaghetti,milk,hot dogs,brownies,green tea
